page,word
3,para
3,separá
3,los
3,não
3,acho
3,metidos
3,nos
3,cantos
3,é
3,um
3,modo
3,de
3,falar
3,em
3,segredinhos
3,sempre
3,juntos
3,bentinho
3,quase
3,não
3,sai
3,de
3,lá
3,a
3,pequena
3,é
3,uma
3,desmiolada
3,o
3,pai
3,faz
3,que
3,não
3,vê
3,tomara
3,ele
3,que
3,as
3,coisas
3,corressem
3,de
3,maneira
3,que
3,compreendo
3,o
3,seu
3,gesto
3,a
3,senhora
3,não
3,crê
3,em
3,tais
3,cálculos
3,parece
3,lhe
3,que
3,todos
3,têm
3,a
3,alma
3,cândida
3,mas
3,sr
3,josé
3,dias
3,tenho
3,visto
3,os
3,pequenos
3,brincando
3,e
3,nunca
3,vi
3,nada
3,que
3,faça
3,desconfiar
3,basta
3,a
3,idade
3,bentinho
3,mal
3,tem
3,quinze
3,anos
3,capitu
3,fez
3,quatorze
3,à
3,semana
3,passada
3,são
3,dois
3,criançolas
3,não
3,se
3,esqueça
3,que
3,foram
3,criados
3,juntos
3,desde
3,aquela
3,grande
3,enchente
3,há
3,dez
3,anos
3,em
3,que
3,a
3,família
3,pádua
3,perdeu
3,tanta
3,coisa
3,daí
3,vieram
3,as
3,nossas
3,relações
3,pois
3,eu
3,hei
3,de
3,crer
3,mano
3,cosme
3,você
3,que
3,acha
3,tio
3,cosme
3,respondeu
3,com
3,um
3,ora
3,que
3,traduzido
3,em
3,vulgar
3,queria
3,dizer
3,são
3,imaginações
3,do
3,josé
3,dias
3,os
3,pequenos
3,divertem
3,se
3,eu
3,divirto
3,me
3,onde
3,está
3,o
3,gamão
3,sim
3,creio
3,que
3,o
3,senhor
3,está
3,enganado
3,pode
3,ser
3,minha
3,senhora
3,oxalá
3,tenham
3,razão
3,mas
3,creia
3,que
3,não
3,falei
3,senão
3,depois
3,de
3,muito
3,examinar
3,em
3,todo
3,caso
3,vai
3,sendo
3,tempo
3,interrompeu
3,minha
3,mãe
3,vou
3,tratar
3,de
3,metê
3,lo
3,no
3,seminário
3,quanto
3,antes
3,bem
3,uma
3,vez
3,que
3,não
3,perdeu
3,a
3,idéia
3,de
3,o
3,fazer
3,padre
3,tem
3,se
3,ganho
3,o
3,principal
3,bentinho
3,há
3,de
3,satisfazer
3,os
3,desejos
3,de
3,sua
3,mãe
3,e
3,depois
3,a
3,igreja
3,brasileira
3,tem
3,altos
3,destinos
3,não
3,esqueçamos
3,que
3,um
3,bispo
3,presidiu
3,a
3,constituinte
3,e
3,que
3,o
3,padre
3,feijó
3,governou
3,o
3,império
4,governo
4,como
4,a
4,cara
4,dele
4,atalhou
4,tio
4,cosme
4,cedendo
